sku,store_view_code,attribute_set_code,product_type,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
JS00T08W-0UG,,Default,simple,base,OVEREXPOSED MULTI SPECKLED SPACE,Lucete entre la multitud con la mochila JanSport Overexposed.Viene en una variedad de colores fluorescentes en la clásica silueta de la SuperBreak. La libre expresión no sera un problema con esta mochila.,,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,624,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T08W-0D9,,Default,simple,base,OVEREXPOSED MULTI WATERCOLOR FLORAL,Lucete entre la multitud con la mochila JanSport Overexposed.Viene en una variedad de colores fluorescentes en la clásica silueta de la SuperBreak. La libre expresión no sera un problema con esta mochila.,,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,409,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T08W-0MU,,Default,simple,base,OVEREXPOSED PINK PANSY MAMMOTH BLUE,Lucete entre la multitud con la mochila JanSport Overexposed.Viene en una variedad de colores fluorescentes en la clásica silueta de la SuperBreak. La libre expresión no sera un problema con esta mochila.,,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,663,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T08W-0CT,,Default,simple,base,OVEREXPOSED SHADY GREY FLUORESCENT ORANGE,Lucete entre la multitud con la mochila JanSport Overexposed.Viene en una variedad de colores fluorescentes en la clásica silueta de la SuperBreak. La libre expresión no sera un problema con esta mochila.,,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T68X-0ED,,Default,simple,base,PIXEL ACCESORY POUCH CYBER PINK SUMMER CHEVRON,,,0.1,1,Taxable Goods,Not Visible Individually,19.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T68X-0DQ,,Default,simple,base,PIXEL ACCESORY POUCH MULTI HOT TROPIC,,,0.1,1,Taxable Goods,Not Visible Individually,19.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T68X-0DU,,Default,simple,base,PIXEL ACCESORY POUCH MULTI PAINTED DITZY,,,0.1,1,Taxable Goods,Not Visible Individually,19.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T55B-008,,Default,simple,base,PLATFORM BLACK,,,0.5,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,82,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T55B-0TC,,Default,simple,base,PLATFORM DESERT BEIGE STATIC,,,0.5,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,36,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T55B-9ZE,,Default,simple,base,PLATFORM GREY RABBIT,,,0.5,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,157,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T55B-0N2,,Default,simple,base,PLATFORM GREY VANISHING RIP,,,0.5,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"22/12/16, 10:25 AM","23/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,200,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T55B-003,,Default,simple,base,PLATFORM NAVY,,,0.5,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,188,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
T38U-1Z2,,Default,simple,base,REGIONAL COLLECTION LONE START,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,44.95,38.95,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,202,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
T38U-1Z3,,Default,simple,base,REGIONAL COLLECTION BRAZIL,"La JanSport SuperBreak® con su silueta clásica, es ultraligera para el uso diario. Está disponible en más de 30 colores y estampados diferentes, ideal para todo tipo de uso.",,0.3,1,Taxable Goods,Not Visible Individually,44.95,38.95,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T70F-008,,Default,simple,base,REILLY BLACK,,,0.4,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,27,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T70F-0F3,,Default,simple,base,REILLY CORSAIR BLUE,,,0.4,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,27,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T70F-0FX,,Default,simple,base,REILLY FROST TEAL,,,0.4,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,20,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T70F-9ZE,,Default,simple,base,REILLY GREY RABBIT,,,0.4,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,56,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T70F-05D,,Default,simple,base,REILLY LIPSTICK KISS,,,0.4,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"23/12/16, 10:25 AM","24/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,8,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
