sku,store_view_code,attribute_set_code,product_type,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
JS00T69D-0KH,,Default,simple,base,DIGITAL STUDENT MIDNIGHT SKY FLORAL STRIPE,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
T69D-09V,,Default,simple,base,DIGITAL STUDENT MULTI ASTRO KITTY,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,4,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
T69D-0A1,,Default,simple,base,DIGITAL STUDENT MULTI GREY FLORAL FLOURISH,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,83,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T69D-0WH,,Default,simple,base,DIGITAL STUDENT MULTI GREY FLORAL HAZE,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,80,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T69D-0V6,,Default,simple,base,DIGITAL STUDENT MULTI ICE BABY,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,64,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
T69D-0B5,,Default,simple,base,DIGITAL STUDENT MULTI JUNK FOOD,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,3,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T69D-0FZ,,Default,simple,base,DIGITAL STUDENT MULTI MARBLE PRISM,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,21,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T69D-0E2,,Default,simple,base,DIGITAL STUDENT MULTI NAVY MOUNTAIN MEADOW,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,77,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T69D-0MV,,Default,simple,base,DIGITAL STUDENT MULTI RED GALAXY,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,187,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T69D-0WV,,Default,simple,base,DIGITAL STUDENT NAVY COLOR GEO,"Protege lo que es importante con la Digital Student de JanSport. Con una funda para computador portatil de 15"", extraible de su compartimiento especial. Incluye dos bolsillos para botella de agua y almacenamiento organizado. Está mochila fue diseñada para ir a todas partes.",,0.5,1,Taxable Goods,Not Visible Individually,64.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
