sku,store_view_code,attribute_set_code,product_type,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
JS00T60G-0WW,,Default,simple,base,BLACK LABEL SUPERBREAK MULTI FISHING LURES,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,624,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T60G-0VJ,,Default,simple,base,BLACK LABEL SUPERBREAK MULTI PAISLEY STRIPE,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,624,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T60G-0WF,,Default,simple,base,BLACK LABEL SUPERBREAK MULTI TURKISH DUTCH FLORAL,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,624,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00T60G-0E1,,Default,simple,base,BLACK LABEL SUPERBREAK MULTI WHITE MOUNTAIN MEADOW,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,378,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TWK8-0HC,,Default,simple,base,BLACK LABEL SUPERBREAK MUTED GREEN,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,994,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TWK8-0HG,,Default,simple,base,BLACK LABEL SUPERBREAK SANGRIA PINK,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,832,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TWK8-0D6,,Default,simple,base,BLACK LABEL SUPERBREAK SEAFOAM GREEN,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,39.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,268,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
T75H-0AY,,Default,simple,base,BLACK LABEL SUPERBREAK SPECIAL EDITION BLACK FADING SPOTS,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,54.95,,,,,,,"20/12/16, 10:25 AM","21/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,98,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
T75H-09Q,,Default,simple,base,BLACK LABEL SUPERBREAK SPECIAL EDITION BLACK GREEN TIGER CAMO FADE,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,54.95,,,,,,,"21/12/16, 10:25 AM","22/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,111,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
T75H-09L,,Default,simple,base,BLACK LABEL SUPERBREAK SPECIAL EDITION BLUE DIGI STRIPE FADE,"La mochila JanSport Black Label SuperBreak trae frescos colores y estampados a la clásica SuperBreak. Con la misma silueta de confianza, esta mochila es un compañero perfecto para sus aventuras diarias.",,0.3,1,Taxable Goods,Not Visible Individually,54.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
