sku,url_key,errors
JS0A2T3B-0P0,beacon-navy-moonshine-lime-punch,
T50A-9ZG,beatnik-aqua-dash,
T50A-008,beatnik-black,
T50A-9W1,beatnik-blue-denim,
T50A-2C9,beatnik-coral-dusk,
T50A-ZB6,beatnik-navy-tokyonights,
T50A-ZB3,beatnik-vivid-purple-acapulco-ombre-stripe,
T50A-8WU,beatnik-yellow-jacket,
JS0A2T3D-0NR,bento-box-coral-sparkle-white-dots,
JS0A2T3D-6XD,bento-box-forge-grey,
JS0A2T3D-0KT,bento-box-multi-bento-box,
JS0A2T3D-0KL,bento-box-multi-concrete-floral,
JS0A2T3D-0E2,bento-box-multi-navy-mountain-meadow,
JS0A2T3D-0MV,bento-box-multi-red-galaxy,
JS00TDN7-0DH,big-student-amazon-green,
JS00TDN7-9ZG,big-student-aqua-dash,
JS00TDN7-0JJ,big-student-aqua-dash-jagged-plaid,
JS00TDN7-0WT,big-student-aqua-dash-scribbled-ink,
TDN7-ZN6,big-student-aqua-dash-spots,
JS00TDN7-008,big-student-black,
JS00TDN7-0KM,big-student-black-arcade-plaid,
JS00TDN7-0A8,big-student-black-kiss-me-quick,
TDN7-0AA,big-student-black-lucky-daisy,
TDN7-1F3,big-student-black-multi-short-circuit,
JS00TDN7-0JR,big-student-black-paintball,
JS00TDN7-01F,big-student-blue-crest,
JS00TDN7-5CS,big-student-blue-streak,
JS00TDN7-0DR,big-student-blue-topaz-oh-bananas,
TDN7-ZT8,big-student-coral-dusk-spots,
TDN7-09Z,big-student-coral-peach-dragon-flight,
TDN7-ZM4,big-student-coral-peach-wild-at-heart,
JS00TDN7-8WG,big-student-coral-sparkle,
JS00TDN7-01B,big-student-cyber-pink,
JS00TDN7-ZU3,big-student-desert-beige-conflict-camo,
JS00TDN7-0EF,big-student-down-town-brown-camo-stripe,
JS00TDN7-04W,big-student-field-tan,
TDN7-9RX,big-student-flourecent-pink,
JS00TDN7-6XD,big-student-forge-grey,
JS00TDN7-0WS,big-student-goose-grey-urban-oasis,
TDN7-1D3,big-student-green-battle-ground,
JS00TDN7-0BE,big-student-grey-rabbit-sylvia-dot,
TDN7-ZE6,big-student-grey-tar-wild-at-heart,
