sku,store_view_code,attribute_set_code,product_type,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
JS00TDN7-0JJ,,Default,simple,base,BIG STUDENT AQUA DASH JAGGED PLAID,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"19/12/16, 10:25 AM","20/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0WT,,Default,simple,base,BIG STUDENT AQUA DASH SCRIBBLED INK,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"19/12/16, 10:25 AM","20/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,364,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-ZN6,,Default,simple,base,BIG STUDENT AQUA DASH SPOTS,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"19/12/16, 10:25 AM","20/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-008,,Default,simple,base,BIG STUDENT BLACK,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"19/12/16, 10:25 AM","20/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,416,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0KM,,Default,simple,base,BIG STUDENT BLACK ARCADE PLAID,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"9/12/16, 10:25 AM","10/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0A8,,Default,simple,base,BIG STUDENT BLACK KISS ME QUICK,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"9/12/16, 10:25 AM","10/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,6,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-0AA,,Default,simple,base,BIG STUDENT BLACK LUCKY DAISY,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"9/12/16, 10:25 AM","10/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,9,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-1F3,,Default,simple,base,BIG STUDENT BLACK MULTI SHORT CIRCUIT,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"9/12/16, 10:25 AM","10/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0JR,,Default,simple,base,BIG STUDENT BLACK PAINTBALL,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"9/12/16, 10:25 AM","10/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,120,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-01F,,Default,simple,base,BIG STUDENT BLUE CREST,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"9/12/16, 10:25 AM","10/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,132,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-5CS,,Default,simple,base,BIG STUDENT BLUE STREAK,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"9/12/16, 10:25 AM","10/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,54,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0DR,,Default,simple,base,BIG STUDENT BLUE TOPAZ OH BANANAS,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"9/12/16, 10:25 AM","10/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,83,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-ZT8,,Default,simple,base,BIG STUDENT CORAL DUSK SPOTS,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"9/12/16, 10:25 AM","10/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,62,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-09Z,,Default,simple,base,BIG STUDENT CORAL PEACH DRAGON FLIGHT,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,40,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-ZM4,,Default,simple,base,BIG STUDENT CORAL PEACH WILD AT HEART,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,8,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-8WG,,Default,simple,base,BIG STUDENT CORAL SPARKLE,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,130,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-01B,,Default,simple,base,BIG STUDENT CYBER PINK,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-ZU3,,Default,simple,base,BIG STUDENT DESERT BEIGE CONFLICT CAMO,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0EF,,Default,simple,base,BIG STUDENT DOWN TOWN BROWN CAMO STRIPE,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,79,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-04W,,Default,simple,base,BIG STUDENT FIELD TAN,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,107,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-9RX,,Default,simple,base,BIG STUDENT FLOURECENT PINK,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-6XD,,Default,simple,base,BIG STUDENT FORGE GREY,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"10/12/16, 10:25 AM","11/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,309,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0WS,,Default,simple,base,BIG STUDENT GOOSE GREY URBAN OASIS,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"11/12/16, 10:25 AM","12/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,403,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-1D3,,Default,simple,base,BIG STUDENT GREEN BATTLE GROUND,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"11/12/16, 10:25 AM","12/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,132,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0BE,,Default,simple,base,BIG STUDENT GREY RABBIT SYLVIA DOT,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"11/12/16, 10:25 AM","12/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-ZE6,,Default,simple,base,BIG STUDENT GREY TAR WILD AT HEART,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"11/12/16, 10:25 AM","12/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-5KS,,Default,simple,base,BIG STUDENT HIGH RISK RED,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"11/12/16, 10:25 AM","12/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,42,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0K6,,Default,simple,base,BIG STUDENT JANSPORT NAVY NIGHT SKY,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"11/12/16, 10:25 AM","12/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0AK,,Default,simple,base,BIG STUDENT LIPSTICK PINK TEA ROSE DITZY,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"11/12/16, 10:25 AM","12/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
TDN7-0AP,,Default,simple,base,BIG STUDENT MAMMOTH BLUE WILD AT HEART,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"11/12/16, 10:25 AM","12/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
JS00TDN7-0KH,,Default,simple,base,BIG STUDENT MIDNIGHT SKY FLORAL STRIPE,"Explora las características de nuestra mochila Big Student. Disponible en una variedad de colores y diseños, esta mochila grande es perfecta para cualquier persona en cualquier lugar.",,0.6,1,Taxable Goods,Not Visible Individually,59.95,,,,,,,"12/12/16, 10:25 AM","13/1/16, 12:32 PM",,,Block after Info Column,,,,,,,,,,,Use config,,,64,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,1,0,0,1,,,,,,,,,,,,,,
