sku,additional_attributes
JS00T29A-0D6,"peso=1 lb 4 oz / 0.6 kg,tela=600 Denier Polyester,capacidad=1900 cu in / 31 L,dimensiones=18'' x 13'' x 8.5'' / 46 x 33 x 21 cm,laptop_size=10.5"" x 11"" x 1"" / 27 x 28 x 3 cm,bullet=Compartimiento interno para 15'' laptop / Compartimiento principal grande / Zipper string pulls / Correas de hombros acolchadas / Bolsillo frontal con organizador / Color contrastante en la parte inferior / Bolsillo frontal con zipper.,bullet_ingles=Internal sleeve fits 15"" laptop / Color contrast bottom / One large main compratment / String zipper pulls / Straight-cut, padded shoulder straps / Front utility pocket with organizer / Zippered front stach pocket / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=MEDIUM,type=CLASSIC,style=JS00T29A"
JS00T29A-0K4,"peso=1 lb 4 oz / 0.6 kg,tela=600 Denier Polyester,capacidad=1900 cu in / 31 L,dimensiones=18'' x 13'' x 8.5'' / 46 x 33 x 21 cm,laptop_size=10.5"" x 11"" x 1"" / 27 x 28 x 3 cm,bullet=Compartimiento interno para 15'' laptop / Compartimiento principal grande / Zipper string pulls / Correas de hombros acolchadas / Bolsillo frontal con organizador / Color contrastante en la parte inferior / Bolsillo frontal con zipper.,bullet_ingles=Internal sleeve fits 15"" laptop / Color contrast bottom / One large main compratment / String zipper pulls / Straight-cut, padded shoulder straps / Front utility pocket with organizer / Zippered front stach pocket / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=MEDIUM,type=CLASSIC,style=JS00T29A"
JS00T29A-01H,"peso=1 lb 4 oz / 0.6 kg,tela=600 Denier Polyester,capacidad=1900 cu in / 31 L,dimensiones=18'' x 13'' x 8.5'' / 46 x 33 x 21 cm,laptop_size=10.5"" x 11"" x 1"" / 27 x 28 x 3 cm,bullet=Compartimiento interno para 15'' laptop / Compartimiento principal grande / Zipper string pulls / Correas de hombros acolchadas / Bolsillo frontal con organizador / Color contrastante en la parte inferior / Bolsillo frontal con zipper.,bullet_ingles=Internal sleeve fits 15"" laptop / Color contrast bottom / One large main compratment / String zipper pulls / Straight-cut, padded shoulder straps / Front utility pocket with organizer / Zippered front stach pocket / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=MEDIUM,type=CLASSIC,style=JS00T29A"
JS00T29A-9FL,"peso=1 lb 4 oz / 0.6 kg,tela=600 Denier Polyester,capacidad=1900 cu in / 31 L,dimensiones=18'' x 13'' x 8.5'' / 46 x 33 x 21 cm,laptop_size=10.5"" x 11"" x 1"" / 27 x 28 x 3 cm,bullet=Compartimiento interno para 15'' laptop / Compartimiento principal grande / Zipper string pulls / Correas de hombros acolchadas / Bolsillo frontal con organizador / Color contrastante en la parte inferior / Bolsillo frontal con zipper.,bullet_ingles=Internal sleeve fits 15"" laptop / Color contrast bottom / One large main compratment / String zipper pulls / Straight-cut, padded shoulder straps / Front utility pocket with organizer / Zippered front stach pocket / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=MEDIUM,type=CLASSIC,style=JS00T29A"
JS0A2SDD-008,"peso=1 lb 5 oz / 0.6 kg,tela=600 Denier Polyester / Synthetic Leather,capacidad=2100 cu in / 34 L,dimensiones=17.5"" x 13"" x 10"" / 43 x 33 x 25 cm ,laptop_size=13.4"" x 11.8"" x 1"" / 34 x 29 x 3 cm,bullet=Compartimiento interno acolchado para una laptop de 15'' / Dos compartimientos principales / Correas de hombros Ergomicas en forma de S- curve para mayor comodidad / Bolsillo frontal con organizador / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ Bolsillo de maya para botella de agua. / Pleated front stash pocket / Zippered front stash pocket / Imitacion de cuero Premium en la parte inferior / Asa de transporte.,bullet_ingles=Internal sleeve fits 15"" sleeve / Two large main compartment / Ergonomic S-curve shoulder straps / Front utility pocket whith organizer / Fully padded back panel / Side water bottle pocket / Pleated front stash pocket / Zippered front stash pocket / Synthetic leather bottom and trims / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=LARGE,type=CLASSIC,style=JS0A2SDD"
JS0A2SDD-6XD,"peso=1 lb 5 oz / 0.6 kg,tela=600 Denier Polyester / Synthetic Leather,capacidad=2100 cu in / 34 L,dimensiones=17.5"" x 13"" x 10"" / 43 x 33 x 25 cm ,laptop_size=13.4"" x 11.8"" x 1"" / 34 x 29 x 3 cm,bullet=Compartimiento interno acolchado para una laptop de 15'' / Dos compartimientos principales / Correas de hombros Ergomicas en forma de S- curve para mayor comodidad / Bolsillo frontal con organizador / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ Bolsillo de maya para botella de agua. / Pleated front stash pocket / Zippered front stash pocket / Imitacion de cuero Premium en la parte inferior / Asa de transporte.,bullet_ingles=Internal sleeve fits 15"" sleeve / Two large main compartment / Ergonomic S-curve shoulder straps / Front utility pocket whith organizer / Fully padded back panel / Side water bottle pocket / Pleated front stash pocket / Zippered front stash pocket / Synthetic leather bottom and trims / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=LARGE,type=CLASSIC,style=JS0A2SDD"
JS0A2SDD-0KL,"peso=1 lb 5 oz / 0.6 kg,tela=600 Denier Polyester / Synthetic Leather,capacidad=2100 cu in / 34 L,dimensiones=17.5"" x 13"" x 10"" / 43 x 33 x 25 cm ,laptop_size=13.4"" x 11.8"" x 1"" / 34 x 29 x 3 cm,bullet=Compartimiento interno acolchado para una laptop de 15'' / Dos compartimientos principales / Correas de hombros Ergomicas en forma de S- curve para mayor comodidad / Bolsillo frontal con organizador / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ Bolsillo de maya para botella de agua. / Pleated front stash pocket / Zippered front stash pocket / Imitacion de cuero Premium en la parte inferior / Asa de transporte.,bullet_ingles=Internal sleeve fits 15"" sleeve / Two large main compartment / Ergonomic S-curve shoulder straps / Front utility pocket whith organizer / Fully padded back panel / Side water bottle pocket / Pleated front stash pocket / Zippered front stash pocket / Synthetic leather bottom and trims / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=LARGE,type=CLASSIC,style=JS0A2SDD"
JS0A2SDD-0E9,"peso=1 lb 5 oz / 0.6 kg,tela=600 Denier Polyester / Synthetic Leather,capacidad=2100 cu in / 34 L,dimensiones=17.5"" x 13"" x 10"" / 43 x 33 x 25 cm ,laptop_size=13.4"" x 11.8"" x 1"" / 34 x 29 x 3 cm,bullet=Compartimiento interno acolchado para una laptop de 15'' / Dos compartimientos principales / Correas de hombros Ergomicas en forma de S- curve para mayor comodidad / Bolsillo frontal con organizador / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ Bolsillo de maya para botella de agua. / Pleated front stash pocket / Zippered front stash pocket / Imitacion de cuero Premium en la parte inferior / Asa de transporte.,bullet_ingles=Internal sleeve fits 15"" sleeve / Two large main compartment / Ergonomic S-curve shoulder straps / Front utility pocket whith organizer / Fully padded back panel / Side water bottle pocket / Pleated front stash pocket / Zippered front stash pocket / Synthetic leather bottom and trims / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=LARGE,type=CLASSIC,style=JS0A2SDD"
JS0A2SDD-0D9,"peso=1 lb 5 oz / 0.6 kg,tela=600 Denier Polyester / Synthetic Leather,capacidad=2100 cu in / 34 L,dimensiones=17.5"" x 13"" x 10"" / 43 x 33 x 25 cm ,laptop_size=13.4"" x 11.8"" x 1"" / 34 x 29 x 3 cm,bullet=Compartimiento interno acolchado para una laptop de 15'' / Dos compartimientos principales / Correas de hombros Ergomicas en forma de S- curve para mayor comodidad / Bolsillo frontal con organizador / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ Bolsillo de maya para botella de agua. / Pleated front stash pocket / Zippered front stash pocket / Imitacion de cuero Premium en la parte inferior / Asa de transporte.,bullet_ingles=Internal sleeve fits 15"" sleeve / Two large main compartment / Ergonomic S-curve shoulder straps / Front utility pocket whith organizer / Fully padded back panel / Side water bottle pocket / Pleated front stash pocket / Zippered front stash pocket / Synthetic leather bottom and trims / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=LARGE,type=CLASSIC,style=JS0A2SDD"
JS0A2SDD-003,"peso=1 lb 5 oz / 0.6 kg,tela=600 Denier Polyester / Synthetic Leather,capacidad=2100 cu in / 34 L,dimensiones=17.5"" x 13"" x 10"" / 43 x 33 x 25 cm ,laptop_size=13.4"" x 11.8"" x 1"" / 34 x 29 x 3 cm,bullet=Compartimiento interno acolchado para una laptop de 15'' / Dos compartimientos principales / Correas de hombros Ergomicas en forma de S- curve para mayor comodidad / Bolsillo frontal con organizador / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ Bolsillo de maya para botella de agua. / Pleated front stash pocket / Zippered front stash pocket / Imitacion de cuero Premium en la parte inferior / Asa de transporte.,bullet_ingles=Internal sleeve fits 15"" sleeve / Two large main compartment / Ergonomic S-curve shoulder straps / Front utility pocket whith organizer / Fully padded back panel / Side water bottle pocket / Pleated front stash pocket / Zippered front stash pocket / Synthetic leather bottom and trims / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=LARGE,type=CLASSIC,style=JS0A2SDD"
JS0A2SDD-9FL,"peso=1 lb 5 oz / 0.6 kg,tela=600 Denier Polyester / Synthetic Leather,capacidad=2100 cu in / 34 L,dimensiones=17.5"" x 13"" x 10"" / 43 x 33 x 25 cm ,laptop_size=13.4"" x 11.8"" x 1"" / 34 x 29 x 3 cm,bullet=Compartimiento interno acolchado para una laptop de 15'' / Dos compartimientos principales / Correas de hombros Ergomicas en forma de S- curve para mayor comodidad / Bolsillo frontal con organizador / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ Bolsillo de maya para botella de agua. / Pleated front stash pocket / Zippered front stash pocket / Imitacion de cuero Premium en la parte inferior / Asa de transporte.,bullet_ingles=Internal sleeve fits 15"" sleeve / Two large main compartment / Ergonomic S-curve shoulder straps / Front utility pocket whith organizer / Fully padded back panel / Side water bottle pocket / Pleated front stash pocket / Zippered front stash pocket / Synthetic leather bottom and trims / Web haul handle.,shop_by=WORK|EVERYDAY,device=LAPTOP,device_size=15'' Laptop,size=LARGE,type=CLASSIC,style=JS0A2SDD"
T52R-9ZI,"peso=1 lb 6 oz / 0.7 kg,tela=600 Dennier Polyester / Faux Leather,capacidad=2500 cu in / 40 L,dimensiones=17.5 x 13 x 6  / 45 x 32 x 15 cm,laptop_size=15"" x 10.2"" x 1"" / 38 x 26 x 2 cm,bullet=0,bullet_ingles=Premium faux leather bottom and trim details / Internal padded sleeve fits 15"" laptop / One large main compartment / Secondary flap pocket whit organizer / Mesh lined padded shoulder straps/ Fully padded back panel/ Faux leather lashing square/ Web haul handle.,shop_by=,device=LAPTOP,device_size=,size=MEDIUM,type=,style=JS00T52R"
T52R-008,"peso=1 lb 6 oz / 0.7 kg,tela=600 Dennier Polyester / Faux Leather,capacidad=2500 cu in / 40 L,dimensiones=17.5 x 13 x 6  / 45 x 32 x 15 cm,laptop_size=15"" x 10.2"" x 1"" / 38 x 26 x 2 cm,bullet=0,bullet_ingles=Premium faux leather bottom and trim details / Internal padded sleeve fits 15"" laptop / One large main compartment / Secondary flap pocket whit organizer / Mesh lined padded shoulder straps/ Fully padded back panel/ Faux leather lashing square/ Web haul handle.,shop_by=,device=LAPTOP,device_size=,size=MEDIUM,type=,style=JS00T52R"
T52R-ZD7,"peso=1 lb 6 oz / 0.7 kg,tela=600 Dennier Polyester / Faux Leather,capacidad=2500 cu in / 40 L,dimensiones=17.5 x 13 x 6  / 45 x 32 x 15 cm,laptop_size=15"" x 10.2"" x 1"" / 38 x 26 x 2 cm,bullet=0,bullet_ingles=Premium faux leather bottom and trim details / Internal padded sleeve fits 15"" laptop / One large main compartment / Secondary flap pocket whit organizer / Mesh lined padded shoulder straps/ Fully padded back panel/ Faux leather lashing square/ Web haul handle.,shop_by=,device=LAPTOP,device_size=,size=MEDIUM,type=,style=JS00T52R"
T52R-9RW,"peso=1 lb 6 oz / 0.7 kg,tela=600 Dennier Polyester / Faux Leather,capacidad=2500 cu in / 40 L,dimensiones=17.5 x 13 x 6  / 45 x 32 x 15 cm,laptop_size=15"" x 10.2"" x 1"" / 38 x 26 x 2 cm,bullet=0,bullet_ingles=Premium faux leather bottom and trim details / Internal padded sleeve fits 15"" laptop / One large main compartment / Secondary flap pocket whit organizer / Mesh lined padded shoulder straps/ Fully padded back panel/ Faux leather lashing square/ Web haul handle.,shop_by=,device=LAPTOP,device_size=,size=MEDIUM,type=,style=JS00T52R"
JS00T52R-003,"peso=1 lb 6 oz / 0.7 kg,tela=600 Dennier Polyester / Faux Leather,capacidad=2500 cu in / 40 L,dimensiones=17.5 x 13 x 6  / 45 x 32 x 15 cm,laptop_size=15"" x 10.2"" x 1"" / 38 x 26 x 2 cm,bullet=0,bullet_ingles=Premium faux leather bottom and trim details / Internal padded sleeve fits 15"" laptop / One large main compartment / Secondary flap pocket whit organizer / Mesh lined padded shoulder straps/ Fully padded back panel/ Faux leather lashing square/ Web haul handle.,shop_by=,device=LAPTOP,device_size=,size=MEDIUM,type=,style=JS00T52R"
T52R-ZK8,"peso=1 lb 6 oz / 0.7 kg,tela=600 Dennier Polyester / Faux Leather,capacidad=2500 cu in / 40 L,dimensiones=17.5 x 13 x 6  / 45 x 32 x 15 cm,laptop_size=15"" x 10.2"" x 1"" / 38 x 26 x 2 cm,bullet=0,bullet_ingles=Premium faux leather bottom and trim details / Internal padded sleeve fits 15"" laptop / One large main compartment / Secondary flap pocket whit organizer / Mesh lined padded shoulder straps/ Fully padded back panel/ Faux leather lashing square/ Web haul handle.,shop_by=,device=LAPTOP,device_size=,size=MEDIUM,type=,style=JS00T52R"
T52R-1Q1,"peso=1 lb 6 oz / 0.7 kg,tela=600 Dennier Polyester / Faux Leather,capacidad=2500 cu in / 40 L,dimensiones=17.5 x 13 x 6  / 45 x 32 x 15 cm,laptop_size=15"" x 10.2"" x 1"" / 38 x 26 x 2 cm,bullet=0,bullet_ingles=Premium faux leather bottom and trim details / Internal padded sleeve fits 15"" laptop / One large main compartment / Secondary flap pocket whit organizer / Mesh lined padded shoulder straps/ Fully padded back panel/ Faux leather lashing square/ Web haul handle.,shop_by=,device=LAPTOP,device_size=,size=MEDIUM,type=,style=JS00T52R"
JS00T52R-0XT,"peso=1 lb 6 oz / 0.7 kg,tela=600 Dennier Polyester / Faux Leather,capacidad=2500 cu in / 40 L,dimensiones=17.5 x 13 x 6  / 45 x 32 x 15 cm,laptop_size=15"" x 10.2"" x 1"" / 38 x 26 x 2 cm,bullet=0,bullet_ingles=Premium faux leather bottom and trim details / Internal padded sleeve fits 15"" laptop / One large main compartment / Secondary flap pocket whit organizer / Mesh lined padded shoulder straps/ Fully padded back panel/ Faux leather lashing square/ Web haul handle.,shop_by=,device=LAPTOP,device_size=,size=MEDIUM,type=,style=JS00T52R"
T52R-ZK1,"peso=1 lb 6 oz / 0.7 kg,tela=600 Dennier Polyester / Faux Leather,capacidad=2500 cu in / 40 L,dimensiones=17.5 x 13 x 6  / 45 x 32 x 15 cm,laptop_size=15"" x 10.2"" x 1"" / 38 x 26 x 2 cm,bullet=0,bullet_ingles=Premium faux leather bottom and trim details / Internal padded sleeve fits 15"" laptop / One large main compartment / Secondary flap pocket whit organizer / Mesh lined padded shoulder straps/ Fully padded back panel/ Faux leather lashing square/ Web haul handle.,shop_by=,device=LAPTOP,device_size=,size=MEDIUM,type=,style=JS00T52R"
T08T-9ZI,"peso=15 oz / 0.4 kg,tela=12 oz Cotton Canvas / Demin,capacidad=1343 cu in / 22 L,dimensiones=19'' x 11'' x 8'' / 48 x 28 x 20 cm,laptop_size=0,bullet=0,bullet_ingles=Premium cotton canvas fabric / One main compartment / Shoulder straps convert to cross body carry / Draw-String closure /Front zipperd stash pocket / Dual side water bottle pocket with snap closure / Dual side water bottle pockets /Beaded zipper pull /Web haul handle .,shop_by=,device=,device_size=,size=MEDIUM,type=CLASSIC,style=T08T"
T08T-1J6,"peso=15 oz / 0.4 kg,tela=12 oz Cotton Canvas / Demin,capacidad=1343 cu in / 22 L,dimensiones=19'' x 11'' x 8'' / 48 x 28 x 20 cm,laptop_size=0,bullet=0,bullet_ingles=Premium cotton canvas fabric / One main compartment / Shoulder straps convert to cross body carry / Draw-String closure /Front zipperd stash pocket / Dual side water bottle pocket with snap closure / Dual side water bottle pockets /Beaded zipper pull /Web haul handle .,shop_by=,device=,device_size=,size=MEDIUM,type=CLASSIC,style=T08T"
T08T-1V5,"peso=15 oz / 0.4 kg,tela=12 oz Cotton Canvas / Demin,capacidad=1343 cu in / 22 L,dimensiones=19'' x 11'' x 8'' / 48 x 28 x 20 cm,laptop_size=0,bullet=0,bullet_ingles=Premium cotton canvas fabric / One main compartment / Shoulder straps convert to cross body carry / Draw-String closure /Front zipperd stash pocket / Dual side water bottle pocket with snap closure / Dual side water bottle pockets /Beaded zipper pull /Web haul handle .,shop_by=,device=,device_size=,size=MEDIUM,type=CLASSIC,style=T08T"
TZP5-7TN,"peso=,tela=0,capacidad=0,dimensiones=0,laptop_size=0,bullet=0,bullet_ingles=0,shop_by=,device=,device_size=,size=,type=,style=TZP5"
T50F-9ZG,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
JS00T50F-008,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
JS00T50F-7TS,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
T50F-0AA,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
JS00T50F-09L,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
T50F-5CS,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
JS00T50F-05W,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
JS00T50F-0JB,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
JS00T50F-0NR,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
JS00T50F-01B,"peso=12 oz / 0.3 Kg,tela=600 Denier Polyester,capacidad=1550 cu in / 25 L,dimensiones=16.7"" x 13"" x 8.5"" / 42 x 33 x 21 cm,laptop_size=12.8"" X 11.8"" X 1 "" / 32 X 29.5 X 2.5 cm ,bullet=Compartimiento interno para 15"" laptop / Bolsillo dedicado para Ipad con felpa suave para proteccion / Parte inferior acolchada con tecnologia de absorcion de golpe para proteger tus equipos / Bolsillo dedicado para el celular / Compartimiento principal grande / Panel trasero totalmente acolchado para amortiguar y mayor comodidad./ y Correas para hombros acolchadas para mayor comodidad,bullet_ingles=Internal sleeve fits 15 laptop / Dedicated tablet pocket with soft touch lining / Fully padded shock absorbing bottom protects your electronics / Dedeicated phone pocket / One large main compartment / Straight-cut, padded shoulder straps / Fully padded back.,shop_by=WORK|EVERYDAY,device=LAPTOP|TABLET,device_size=15'' Laptop & Tablet,size=MEDIUM,type=DIGITAL|CLASSIC,style=JS00T50F"
