sku,additional_attributes
T17E-1G4,"peso=3.5 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=Ipad & Tablet,dimensiones=10'' x 8'' x 0.5'' / 26 x 21 x 1.2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, tricot lined compartment fits apple Ipad and most popular tablet sizes / Secure velcro closure.,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad & Tablet,size=,type=DIGITAL,style=T17E"
T17E-1E5,"peso=3.5 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=Ipad & Tablet,dimensiones=10'' x 8'' x 0.5'' / 26 x 21 x 1.2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, tricot lined compartment fits apple Ipad and most popular tablet sizes / Secure velcro closure.,shop_by=EVERYDAY|PROMOTION,device=TABLET,device_size=Ipad & Tablet,size=,type=DIGITAL,style=T17E"
T17D-9XV,"peso=4 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=13'' Laptop,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 13'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop,size=,type=DIGITAL,style=T17D"
T17D-1G2,"peso=4 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=13'' Laptop,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 13'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop,size=,type=DIGITAL,style=T17D"
T17D-008,"peso=4 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=13'' Laptop,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 13'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop,size=,type=DIGITAL,style=T17D"
T17D-1F3,"peso=4 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=13'' Laptop,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 13'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop,size=,type=DIGITAL,style=T17D"
T17D-5KS,"peso=4 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=13'' Laptop,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 13'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop,size=,type=DIGITAL,style=T17D"
T17D-9RW,"peso=4 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=13'' Laptop,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 13'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop,size=,type=DIGITAL,style=T17D"
T17D-1G4,"peso=4 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=13'' Laptop,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 13'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop,size=,type=DIGITAL,style=T17D"
T17D-1E5,"peso=4 oz / 0.1 kg,tela=600 Denier Polyester,capacidad=13'' Laptop,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 13'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop,size=,type=DIGITAL,style=T17D"
T12H-9PC,"peso=7 oz / 0.2 kg,tela=Heat Embossed 600 Denier Polyester / Suede Leather Plush Lining,capacidad=13'' Laptop & Tablet,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment fits 13'' or 15'' laptop / Internal tricot lined secondary tablet pocket / Vertical orientation optimized to fit in Jansport packs,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop & Tablet,size=,type=DIGITAL,style=T12H"
T12H-212,"peso=7 oz / 0.2 kg,tela=Heat Embossed 600 Denier Polyester / Suede Leather Plush Lining,capacidad=13'' Laptop & Tablet,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment fits 13'' or 15'' laptop / Internal tricot lined secondary tablet pocket / Vertical orientation optimized to fit in Jansport packs,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop & Tablet,size=,type=DIGITAL,style=T12H"
T12H-6XJ,"peso=7 oz / 0.2 kg,tela=Heat Embossed 600 Denier Polyester / Suede Leather Plush Lining,capacidad=13'' Laptop & Tablet,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment fits 13'' or 15'' laptop / Internal tricot lined secondary tablet pocket / Vertical orientation optimized to fit in Jansport packs,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop & Tablet,size=,type=DIGITAL,style=T12H"
T12H-7PB,"peso=7 oz / 0.2 kg,tela=Heat Embossed 600 Denier Polyester / Suede Leather Plush Lining,capacidad=13'' Laptop & Tablet,dimensiones=13.5'' 9.5'' x 0.8'' / 34 x 24 x 2 cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment fits 13'' or 15'' laptop / Internal tricot lined secondary tablet pocket / Vertical orientation optimized to fit in Jansport packs,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=13'' Laptop & Tablet,size=,type=DIGITAL,style=T12H"
T17C-1G2,"peso=5.6 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=15'' Laptop,dimensiones=15'' x 10.3'' x 0.8'' / 38 x 26 x 2cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 15'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop,size=,type=DIGITAL,style=T17C"
T17C-008,"peso=5.6 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=15'' Laptop,dimensiones=15'' x 10.3'' x 0.8'' / 38 x 26 x 2cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 15'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop,size=,type=DIGITAL,style=T17C"
T17C-9XV,"peso=5.6 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=15'' Laptop,dimensiones=15'' x 10.3'' x 0.8'' / 38 x 26 x 2cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 15'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop,size=,type=DIGITAL,style=T17C"
T17C-1F3,"peso=5.6 oz / 0.2 kg,tela=600 Denier Polyester,capacidad=15'' Laptop,dimensiones=15'' x 10.3'' x 0.8'' / 38 x 26 x 2cm,laptop_size=0,bullet=0,bullet_ingles=Protective, plush lined zippered compartment 15'' laptop / Vertical orientation optimized to fit in Jansport packs.,shop_by=EVERYDAY|PROMOTION,device=LAPTOP,device_size=15'' Laptop,size=,type=DIGITAL,style=T17C"
