sku,configurable_variations
JS00T71A,"sku=T71A-9ZG,color=AUSTIN AQUA DASH|sku=JS00T71A-008,color=AUSTIN BLACK|sku=T71A-008,color=AUSTIN BLACK|sku=JS00T71A-0JR,color=AUSTIN BLACK PAINTBALL|sku=T71A-9SA,color=AUSTIN CORAL PEACHES|sku=T71A-ZU3,color=AUSTIN DESERT BEIGE CONFLICT CAMO|sku=JS00T71A-6XD,color=AUSTIN FORGE GREY|sku=T71A-6XD,color=AUSTIN FORGE GREY|sku=JS00T71A-0KL,color=AUSTIN MULTI CONCRETE FLORAL|sku=JS00T71A-0KP,color=AUSTIN MULTI FREQUENCY|sku=JS00T71A-0N9,color=AUSTIN MULTI MIDNIGHT BOUQUET|sku=JS00T71A-0E2,color=AUSTIN MULTI NAVY MOUNTAIN MEADOW|sku=JS00T71A-0VZ,color=AUSTIN MULTI WHITE FLORAL HAZE|sku=JS00T71A-9ZH,color=AUSTIN NAVY MOONSHINE|sku=T71A-9ZH,color=AUSTIN NAVY MOONSHINE|sku=JS00T71A-9FL,color=AUSTIN VIKING RED|sku=T71A-9FL,color=AUSTIN VIKING RED|sku=JS00T71A-0WT,color=AUTIN AQUA DASH SCRIBBLED INK"
T49A,"sku=T49A-9RX,color=BASSIC ACCESORY FLUORECENT PINK|sku=T49A-9RW,color=BASSIC ACCESORY MAMMONTH BLUE|sku=T49A-1U1,color=BASSIC ACCESORY POUCH MAMMOTH BLUE ZOOT SUIT"
T50A,"sku=T50A-9ZG,color=BEATNIK AQUA DASH|sku=T50A-008,color=BEATNIK BLACK|sku=T50A-9W1,color=BEATNIK BLUE DENIM|sku=T50A-2C9,color=BEATNIK CORAL DUSK|sku=T50A-ZB6,color=BEATNIK NAVY TOKYONIGHTS|sku=T50A-ZB3,color=BEATNIK VIVID PURPLE ACAPULCO OMBRE STRIPE|sku=T50A-8WU,color=BEATNIK YELLOW JACKETsku=JS0A2T3D-0NR,color=BENTO BOX CORAL SPARKLE WHITE DOTS|sku=JS0A2T3D-6XD,color=BENTO BOX FORGE GREY|sku=JS0A2T3D-0KT,color=BENTO BOX MULTI BENTO BOX|sku=JS0A2T3D-0KL,color=BENTO BOX MULTI CONCRETE FLORAL|sku=JS0A2T3D-0E2,color=BENTO BOX MULTI NAVY MOUNTAIN MEADOW|sku=JS0A2T3D-0MV,color=BENTO BOX MULTI RED GALAXY"
JS0A2T3D,"sku=JS0A2T3D-0NR,color=BENTO BOX CORAL SPARKLE WHITE DOTS|sku=JS0A2T3D-6XD,color=BENTO BOX FORGE GREY|sku=JS0A2T3D-0KT,color=BENTO BOX MULTI BENTO BOX|sku=JS0A2T3D-0KL,color=BENTO BOX MULTI CONCRETE FLORAL|sku=JS0A2T3D-0E2,color=BENTO BOX MULTI NAVY MOUNTAIN MEADOW|sku=JS0A2T3D-0MV,color=BENTO BOX MULTI RED GALAXY"
JS00TDN7,"sku=JS00TDN7-0DH,color=BIG STUDENT AMAZON GREEN|sku=JS00TDN7-9ZG,color=BIG STUDENT AQUA DASH|sku=JS00TDN7-0JJ,color=BIG STUDENT AQUA DASH JAGGED PLAID|sku=JS00TDN7-0WT,color=BIG STUDENT AQUA DASH SCRIBBLED INK|sku=TDN7-ZN6,color=BIG STUDENT AQUA DASH SPOTS|sku=JS00TDN7-008,color=BIG STUDENT BLACK|sku=TDN7-008,color=BIG STUDENT BLACK|sku=JS00TDN7-0KM,color=BIG STUDENT BLACK ARCADE PLAID|sku=JS00TDN7-0A8,color=BIG STUDENT BLACK KISS ME QUICK|sku=TDN7-0AA,color=BIG STUDENT BLACK LUCKY DAISY|sku=TDN7-1F3,color=BIG STUDENT BLACK MULTI SHORT CIRCUIT|sku=JS00TDN7-0JR,color=BIG STUDENT BLACK PAINTBALL|sku=JS00TDN7-01F,color=BIG STUDENT BLUE CREST|sku=JS00TDN7-5CS,color=BIG STUDENT BLUE STREAK|sku=JS00TDN7-0DR,color=BIG STUDENT BLUE TOPAZ OH BANANAS|sku=TDN7-ZT8,color=BIG STUDENT CORAL DUSK SPOTS|sku=TDN7-09Z,color=BIG STUDENT CORAL PEACH DRAGON FLIGHT|sku=TDN7-ZM4,color=BIG STUDENT CORAL PEACH WILD AT HEART|sku=JS00TDN7-8WG,color=BIG STUDENT CORAL SPARKLE|sku=JS00TDN7-01B,color=BIG STUDENT CYBER PINK|sku=JS00TDN7-ZU3,color=BIG STUDENT DESERT BEIGE CONFLICT CAMO|sku=JS00TDN7-0EF,color=BIG STUDENT DOWN TOWN BROWN CAMO STRIPE|sku=JS00TDN7-04W,color=BIG STUDENT FIELD TAN|sku=TDN7-9RX,color=BIG STUDENT FLOURECENT PINK|sku=JS00TDN7-6XD,color=BIG STUDENT FORGE GREY|sku=JS00TDN7-0WS,color=BIG STUDENT GOOSE GREY URBAN OASIS|sku=TDN7-1D3,color=BIG STUDENT GREEN BATTLE GROUND|sku=JS00TDN7-0BE,color=BIG STUDENT GREY RABBIT SYLVIA DOT|sku=TDN7-ZE6,color=BIG STUDENT GREY TAR WILD AT HEART|sku=JS00TDN7-5KS,color=BIG STUDENT HIGH RISK RED|sku=TDN7-5KS,color=BIG STUDENT HIGH RISK RED|sku=JS00TDN7-0K6,color=BIG STUDENT JANSPORT NAVY NIGHT SKY|sku=JS00TDN7-0AK,color=BIG STUDENT LIPSTICK PINK TEA ROSE DITZY|sku=TDN7-0AP,color=BIG STUDENT MAMMOTH BLUE WILD AT HEART|sku=JS00TDN7-0KH,color=BIG STUDENT MIDNIGHT SKY FLORAL STRIPE|sku=JS00TDN7-09V,color=BIG STUDENT MULTI ASTRO KITTY|sku=JS00TDN7-0XJ,color=BIG STUDENT MULTI CALI POPPY|sku=JS00TDN7-0KL,color=BIG STUDENT MULTI CONCRETE FLORAL|sku=JS00TDN7-0JE,color=BIG STUDENT MULTI DIAMOND ARROWS|sku=JS00TDN7-09Y,color=BIG STUDENT MULTI DONUTS|sku=JS00TDN7-0UE,color=BIG STUDENT MULTI FLOWER EXPLOSION|sku=JS00TDN7-0KP,color=BIG STUDENT MULTI FREQUENCY|sku=JS00TDN7-0VT,color=BIG STUDENT MULTI GARDEN SPACE|sku=JS00TDN7-0DQ,color=BIG STUDENT MULTI HOT TROPIC|sku=JS00TDN7-0WR,color=BIG STUDENT MULTI JUNGLE JAM|sku=JS00TDN7-0JL,color=BIG STUDENT MULTI LAVA LAMP|sku=JS00TDN7-0X1,color=BIG STUDENT MULTI NAVY CONNECT FOUR|sku=JS00TDN7-0E2,color=BIG STUDENT MULTI NAVY MOUNTAIN MEADOW|sku=JS00TDN7-0AC,color=BIG STUDENT MULTI O X O|sku=JS00TDN7-0JP,color=BIG STUDENT MULTI ORNATE BLUES|sku=JS00TDN7-0DU,color=BIG STUDENT MULTI PAINTED DITZY|sku=TDN7-0AG,color=BIG STUDENT MULTI PEACOCK|sku=JS00TDN7-0JS,color=BIG STUDENT MULTI SAUCY CHEVRON|sku=JS00TDN7-0WZ,color=BIG STUDENT MULTI SOUTH SWELL|sku=JS00TDN7-0UG,color=BIG STUDENT MULTI SPECKLED SPACE|sku=JS00TDN7-0KN,color=BIG STUDENT MULTI STICKERS|sku=JS00TDN7-0E9,color=BIG STUDENT MULTI SUNSET STRIPE|sku=JS00TDN7-0JW,color=BIG STUDENT MULTI TEXTURE STRIPE|sku=JS00TDN7-0EM,color=BIG STUDENT MULTI TROPIC GOLD|sku=JS00TDN7-0KJ,color=BIG STUDENT MULTI VARIEGATED STRIPE|sku=JS00TDN7-0L2,color=BIG STUDENT MULTI WET SLOTH|sku=JS00TDN7-003,color=BIG STUDENT NAVY|sku=JS00TDN7-0VQ,color=BIG STUDENT NAVY SWEET BLOSSOM|sku=TDN7-1W6,color=BIG STUDENT PINK PANSY CONFETTI DOTS|sku=JS00TDN7-0DG,color=BIG STUDENT PURPLE PLUM|sku=JS00TDN7-5XP,color=BIG STUDENT RED TAPE|sku=TDN7-06F,color=BIG STUDENT RED TAPE GRUNGE STRIPE|sku=JS00TDN7-0N0,color=BIG STUDENT RED TAPE/LAND AHOY|sku=JS00TDN7-0D6,color=BIG STUDENT SEAFOM GREEN|sku=JS00TDN7-0K4,color=BIG STUDENT SHADY GREY / WHITE DOTS|sku=JS00TDN7-0VN,color=BIG STUDENT SHADY GREY SHADOW ANGLES|sku=JS00TDN7-01H,color=BIG STUDENT SPANISH TEAL|sku=JS00TDN7-0D5,color=BIG STUDENT TAHITIAN ORANGE|sku=JS00TDN7-0P7,color=BIG STUDENT TAHITIAN ORANGE WHITE DOTS|sku=TDN7-9FL,color=BIG STUDENT VIKING RED|sku=TDN7-2C8,color=BIG STUDENT VIVID PURPLE"
JS00T75K,"sku=JS00T75K-0NZ,color=BIG STUDENT OVEREXPOSED BLACK AQUA DASH|sku=JS00T75K-1J0,color=BIG STUDENT OVEREXPOSED BLACK FLUORESCENT PINK|sku=T75K-1J0,color=BIG STUDENT OVEREXPOSED BLACK FLUORESCENT PINK|sku=JS00T75K-02D,color=BIG STUDENT OVEREXPOSED BLACK GALAXY|sku=JS00T75K-0N1,color=BIG STUDENT OVEREXPOSED CORAL SPARKLE WHITE|sku=JS00T75K-0EL,color=BIG STUDENT OVEREXPOSED CYBER PINK ROCKSTEADY|sku=JS00T75K-0CX,color=BIG STUDENT OVEREXPOSED MISS ZEBRA/MAMMOTH BLUE|sku=JS00T75K-0FZ,color=BIG STUDENT OVEREXPOSED MULTI MARBLE PRISM"
JS00T60G,"sku=TWK8-1Y9,color=BLACK LABEL SUPERBREAK BAYSIDE BLUE ZEBRA|sku=JS00T60G-0JH,color=BLACK LABEL SUPERBREAK BLACK GALAXY PLAID|sku=JS00T60G-0KG,color=BLACK LABEL SUPERBREAK BLACK GLITCH  PLAID|sku=JS00T60G-01F,color=BLACK LABEL SUPERBREAK BLUE CREST|sku=T60G-01F,color=BLACK LABEL SUPERBREAK BLUE CREST|sku=JS00TWK8-0DC,color=BLACK LABEL SUPERBREAk BLUE TOPAZ|sku=JS00T60G-04T,color=BLACK LABEL SUPERBREAK BURNT HENNA|sku=T60G-04T,color=BLACK LABEL SUPERBREAK BURNT HENNA|sku=JS00T60G-05W,color=BLACK LABEL SUPERBREAK BURNT HENNA ABSTRACT ANGLES|sku=JS00TWK8-0F3,color=BLACK LABEL SUPERBREAK CORSAIR BLUE|sku=T60G-01B,color=BLACK LABEL SUPERBREAK CYBER PINK|sku=JS00T60G-0B1,color=BLACK LABEL SUPERBREAK CYBER PINK TRIBAL ARTISAN|sku=T60G-02A,color=BLACK LABEL SUPERBREAK CYBER PINK TRIBAL OMBRE|sku=JS00T60G-6XD,color=BLACK LABEL SUPERBREAK FORGE GREY|sku=T60G-6XD,color=BLACK LABEL SUPERBREAK FORGE GREY|sku=JS00T60G-0HH,color=BLACK LABEL SUPERBREAK JANSPORT NAVY|sku=JS00T60G-0E4,color=BLACK LABEL SUPERBREAK MULTI FEATHER FAMCY|sku=JS00T60G-0WW,color=BLACK LABEL SUPERBREAK MULTI FISHING LURES|sku=JS00T60G-0VJ,color=BLACK LABEL SUPERBREAK MULTI PAISLEY STRIPE|sku=JS00T60G-0WF,color=BLACK LABEL SUPERBREAK MULTI TURKISH DUTCH FLORAL|sku=JS00T60G-0E1,color=BLACK LABEL SUPERBREAK MULTI WHITE MOUNTAIN MEADOW|sku=JS00TWK8-0HC,color=BLACK LABEL SUPERBREAK MUTED GREEN|sku=JS00TWK8-0HG,color=BLACK LABEL SUPERBREAK SANGRIA PINK|sku=JS00TWK8-0D6,color=BLACK LABEL SUPERBREAK SEAFOAM GREEN|sku=JS00TWK8-0DE,color=BLACK LABEL SUPERBREAK SPECTRA YELLOW|sku=JS00TWK8-0D5,color=BLACK LABEL SUPERBREAK TAHITIAN ORANGE|sku=JS00TWK8-05F,color=BLACK LABEL SUPERBREAK TURKISH OCEAN|sku=JS00T60G-05B,color=BLACK LABEL SUPERBREAK VIOLET PURPLE|sku=T60G-05B,color=BLACK LABEL SUPERBREAK VIOLET PURPLE|sku=JS00T60G-WHX,color=BLACK LABEL SUPERBREAK WHITE"
T75H,"sku=T75H-0AY,color=BLACK LABEL SUPERBREAK SPECIAL EDITION BLACK FADING SPOTS|sku=T75H-09Q,color=BLACK LABEL SUPERBREAK SPECIAL EDITION BLACK GREEN TIGER CAMO FADE|sku=T75H-09L,color=BLACK LABEL SUPERBREAK SPECIAL EDITION BLUE DIGI STRIPE FADE|sku=T75H-0B0,color=BLACK LABEL SUPERBREAK SPECIAL EDITION VIOLET PURPLE GEO FADE"
JS00T68S,"sku=JS00T68S-008,color=BROADBAND BLACK"
JS00T29A,"sku=JS00T29A-1K2,color=CITY SCOUT / MAMOTH BLUEFLUORESCTPINK|sku=JS00T29A-0DH,color=CITY SCOUT AMAZON GREEN|sku=JS00T29A-008,color=CITY SCOUT BLACK|sku=T29A-008,color=CITY SCOUT BLACK|sku=JS00T29A-0VK,color=CITY SCOUT BLACK MOVING DOTS|sku=JS00T29A-04W,color=CITY SCOUT FIELD TAN|sku=JS00T29A-1Q4,color=CITY SCOUT FLUORESCENT RED|sku=JS00T29A-5KS,color=CITY SCOUT HIGH RISK RED|sku=JS00T29A-0FZ,color=CITY SCOUT MULTI MARBLE PRISM|sku=T29A-0AN,color=CITY SCOUT MULTI WATERCOLOR SPOTS|sku=JS00T29A-0VZ,color=CITY SCOUT MULTI WHITE FLORAL HAZE|sku=JS00T29A-003,color=CITY SCOUT NAVY|sku=JS00T29A-ZR6,color=CITY SCOUT NEW BLCK FLUORESCENT PINK|sku=JS00T29A-0D6,color=CITY SCOUT SEAFOAM GREEN|sku=JS00T29A-0K4,color=CITY SCOUT SHADY GREY / WHITE DOTS|sku=JS00T29A-01H,color=CITY SCOUT SPANISH TEAL|sku=JS00T29A-9FL,color=CITY SCOUT VIKING REDsku=T29N -9ZG,color=BLACK LABEL CITY SCOUT AQUA DASH"
