sku,categories,errors
T26Z-1F8,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T26Z-008,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T26Z-1F3,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T26Z-9XV,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T26Z-9RW,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T26Z-1E5,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17E-1G2,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17E-008,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17E-1F3,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17E-9XV,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17E-5KS,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17E-9RW,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17E-9SF,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17E-1G4,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17E-1E5,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17D-9XV,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17D-1G2,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17D-008,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17D-1F3,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17D-5KS,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17D-9RW,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17D-1G4,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T17D-1E5,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
T12H-9PC,"Jansports/DIGITAL NEW,Jansports/ACCESSORIES/DIGITAL",
